Assembly_Path,PRODHIERARCHY,MATGROUP,MATERIALTYPE,EXTMATGROUP,LAB_OFFICE,HDMATWT
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020963.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021024.0004.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021204.0004.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021355.0016.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021390.0004.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021422.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021843.0243.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021851.0236.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021858.0241.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021870.0148.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100021876.0248.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100022017.0224.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100022023.0065.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100022029.0258.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100022037.0172.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100022049.0157.ipt,M38140 ,MA,,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100022055.0225.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100023087.0018.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100023329.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100024257.0017.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100024266.0069.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100024283.0041.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100024362.0024.ipt,M38140 ,EG,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100024730.0008.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100024748.0046.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100024865.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100024969.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100025078.0054.ipt,M38140 ,MA,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100025345.0045.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100025953.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100026167.0052.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100026177.0046.ipt,M38140 ,EG,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100026216.0007.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100026219.0006.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\10192454-DWK.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\1730290.ipt,M37401 ,FC,YHAM,TX460,094,
C:\Temp\Test02_versionUpgrad\All_IPT\482020-2719.ipt,,,,,135,
C:\Temp\Test02_versionUpgrad\All_IPT\482027-859.ipt,,EG,YHAM,,135,
C:\Temp\Test02_versionUpgrad\All_IPT\6660305.2.ipt,,,,,072,
C:\Temp\Test02_versionUpgrad\All_IPT\6681430.1.ipt,,,,,,
C:\Temp\Test02_versionUpgrad\All_IPT\75085.1160.ipt,M37401 ,FE,YHAM,TX460,093,
C:\Temp\Test02_versionUpgrad\All_IPT\80117760500-3.ipt,M38150 ,MA,YHAM,Z270,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000001.ipt,M38140 ,FC,,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000029.ipt,M38150 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000035.ipt,M38150 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000041.ipt,M38150 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000134.ipt,M38140 ,MA,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000144.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000154.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000165.ipt,M38140 ,HO,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000174.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000184.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000192.ipt,M38140 ,EG,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000205.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000216.ipt,M38140 ,FE,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000229.ipt,M38140 ,FE,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000243.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000251.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000264.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000270.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000286.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000309.ipt,M38140 ,FE,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000442.ipt,M38140 ,EG,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000452.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000804.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000924.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000941.ipt,M38140 ,EG,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000948.ipt,M38140 ,EG,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100001085.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100001095.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100001103.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100001118.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100009738.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100009766.ipt,M38140 ,HO,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010697.ipt,M38140 ,FE,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010709.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010716.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010724.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010736.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010742.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010804.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010822.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010862.ipt,M36051 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010886.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010931.ipt,M38140 ,EG,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010945.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010953.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010959.ipt,M38140 ,MA,,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100010972.ipt,M38140 ,MA,YHAM,Z276,135,
